id,createdAt,reviewer,module,type,priority,route,title,comment,viewport
review-mq9l6bd7,2026-06-11T14:21:53.035Z,DP,Homepage,Issue,Medium,/,Error is confusing,"Ignore if error is made up.
On homepage
The error in Continue UDMI validation.
What is ISS-1042 ? Full error below
ISS-1042fault_status expected STRING but received NUMBER.DEMO-BLR-001 · UDMI pointset

So BLR Pointset payload has an issue, it would be good to separate and emphasise the part of the payload the issue is in, and to improve readability.
E.g.
DEMO-BLR-001 · UDMI pointset
""fault_status"" point - expected STRING but received NUMBER",2552x1274
review-mq9ll2vf,2026-06-11T14:33:21.867Z,DP,Configuration,UX comment,Medium,/configuration,Cert expiry,I don't think certificate expiry is required as an INPUT. Maybe it can confirm to the user if the current certificate they have uploaded/specified is expired or not? Maybe highlight the box red if expired.,2552x1274
review-mq9lmokb,2026-06-11T14:34:36.635Z,DP,Configuration,UX comment,Medium,/configuration,Collapsable sections,"Can Network Basics, Bacnet Discovery, MQTT Settings boxes and etc be collapsable?",2552x1274
review-mq9lnour,2026-06-11T14:35:23.667Z,DP,Configuration,Question,Low,/configuration,What does Validate Snapshot do?,What does Validate Snapshot do?,2552x1274
review-mq9lq5ii,2026-06-11T14:37:18.570Z,DP,Configuration,Question,Low,/configuration,What does Save Configuration do?,"What does Save Configuration do? Is it possible to export the configuration and import it? The smart commissioning tool will be used for multiple projects and different systems within the SAME project, so would be good to import project-specific configurations.",2552x1274
review-mq9lsooa,2026-06-11T14:39:16.714Z,DP,Configuration,UX comment,Medium,/configuration,Timezone dropdown,"Would be good to have a timezone dropdown for all the different timezones, for future projects that want to use UTC or ones not in Europe/London.",2552x1274
review-mq9lv0g2,2026-06-11T14:41:05.282Z,DP,Configuration,Question,Medium,/configuration,Where will backup location be stored?,Where will the backup location be stored on the BACKUP & RESTORE section? Is it within the app or can a directory on the host laptop be specified?,2552x1274
review-mq9lxgf6,2026-06-11T14:42:59.298Z,DP,Configuration,UX comment,Medium,/configuration,Double statuses,"There seems to be double statuses everywhere, e.g. Healthy Healthy, Listening Listening, Connected Connected - only need one! But it should be descriptive and allow enough space characters for fault statuses as well, e.g. Disconnected due to TLS Protocol error or etc.",2552x1274
review-mq9m4bnv,2026-06-11T14:48:19.723Z,DP,UDMI,UX comment,Medium,/udmi-validation,Previous UI for the results 1,"The previous UI for the results had ""expected payload"" which was cool. Some assets will have multiple payloads, e.g. DEMO-BLR-001 would have a pointset, metadata and state payload.
Maybe for the assets with multiple payload types, you can drop down the asset to see it's results on a per payload type basis (when it is not dropped down, you get summary of all of the payload types).",2552x1274
review-mq9m6uay,2026-06-11T14:50:17.194Z,DP,UDMI,UX comment,Medium,/udmi-validation,Previous UI for the results 2,"Result = Pass or Fail (and the reasons why it failed = e.g. Type mismatch like you have) is good. There won't be an inbetween of ""warning""",2552x1274
review-mq9mbmsh,2026-06-11T14:54:00.737Z,DP,BACnet,UX comment,Medium,/bacnet-discovery,Previous UI,"IP address details, if appliable, in Results - BACnet Devices would be good. Network number should also be re-added",2552x1274
review-mq9mvkki,2026-06-11T15:09:30.978Z,DP,UDMI,Question,Medium,/udmi-validation,What does Queue UDMI Validation do?,"What does Queue UDMI Validation do? Is it just stating the UDMI validation based on the user's register input?
Maybe instead of ""Queue"" it can be ""Run Validation""? The term queing is quite confusing, so a different word should be used where applicable.",2552x1274
review-mq9n11wi,2026-06-11T15:13:46.722Z,DP,UDMI,Positive note,Medium,/udmi-validation,MQTT Config,MQTT Config controlled publish looks good. It would be good to change it to be able to write and confirm back the values of multiple inputs. E.g. supply_air_temperature_setpoint and heating_valve_percentage_command may both be written to with one config payload.,2552x1274
review-mq9n7pbe,2026-06-11T15:18:57.002Z,DP,UDMI,Missing requirement,Medium,/udmi-validation,Schedule and Payload Evidence,"I like this section... It would be good if there is a button in this section that says execute, so it can go out and grab the state/metadata/pointset payloads specified in the topics.",2552x1274
review-mq9nhbzu,2026-06-11T15:26:26.298Z,DP,MQTT Discovery,Missing requirement,High,/mqtt-discovery,Would be good to emmulate what MQTT explorer does,"It would be good to emmulate what MQTT explorer does - you can get it to subscribe to all topics or specific defined topics via wildcards and etc. An additional feature that I have always longed for in MQTT explorer is the ability to export all the latest payloads seen on every topics and place it into an Excel file.
The above section can be called ""Incoming MQTT Payloads"" - where the user can specify a topic to subscribe to and a duration of how long it should subscribe for (if it can be left on indefinitely until the user stops it, that would be good too)",2552x1274
review-mqalcdg1,2026-06-12T07:14:21.841Z,DP,IP Discovery,Missing requirement,High,/ip-scanner,IP Discovery Input Example,"For the IP Discover Input Example, it would be good if there is a template the user can download showing how it should be formatted.",2552x1274
review-mqalda3m,2026-06-12T07:15:04.162Z,DP,BACnet,Missing requirement,High,/bacnet-discovery,BACnet Discovery Input Example,"For the BACnet Discover Input Example, it would be good if there is a template the user can download showing how it should be formatted for the BACnet register and BACnet Points.",2552x1274
review-mqale1y9,2026-06-12T07:15:40.257Z,DP,MQTT Discovery,Missing requirement,High,/mqtt-discovery,"For the MQTT Discovery Input Example, it would be good if there is a template th","For the MQTT Discovery Input Example, it would be good if there is a template the user can download showing how the MQTT register and points should be formatted.",2552x1274
review-mqalf5tt,2026-06-12T07:16:31.937Z,DP,UDMI,Missing requirement,High,/udmi-validation,"For the UDMI Validation Input Example, it would be good if there is a template t","For the UDMI Validation Input Example, it would be good if there is a template the user can download showing how MQTT register, asset validation and MQTT points should be formatted.",2552x1274
review-mqalgpxt,2026-06-12T07:17:44.657Z,DP,Validation,Missing requirement,High,/data-validation,Data Validation Input Example,"For the Data Validation Input Example, it would be good if there is a template the user can download showing how it should be formatted for asset validation, bacnet points, mqtt points, mapping and tolerances.",2552x1274
review-mqatabc9,2026-06-12T10:56:42.729Z,DP,Reports,Issue,Medium,/reports,Export button doesn't do anything,Export button doesn't do anything when clicked,1528x794
review-mqatcqb3,2026-06-12T10:58:35.439Z,DP,Reports,Missing requirement,Medium,/reports,Export specific reports,It would be good for the user to be able to select a specific or multiple reports and only export them.,1528x794
review-mqatkxi8,2026-06-12T11:04:58.016Z,DP,Validation,UX comment,Medium,/data-validation,Change name of Validation page,"Validation page is only doing BACnet to MQTT validation so call it ""BACnet to MQTT Validation"". It should be noted that the UDMI and Validation pages could be put into one page called Data Validation - but whatever you think is easier to code. ""UDMI"" page would check for UDMI-compliant MQTT payloads and making payload contents match what is expected. ""Validation"" page is comparing MQTT to BACnet. So they are both doing MQTT, so may be worth linking them together. Keep ""MQTT Discover"" as a separate tab though.",2552x1274
review-mqautz9j,2026-06-12T11:39:59.815Z,DP,Reports,Question,Medium,/reports,How are reports linked/generated with the other tabs?,"If I were to do a UDMI validation, how is the UDMI validation report linked with this Reports page? It is a bit unclear. Maybe on the UDMI Validation page, when a report is generated, a popup can be shown to the user to say ""report generated - refer to Reports tab"" or the user can request a report to be generated based on the validation output - this way, there will be less not required reports being generated.",2552x1274
